"","X","Range.ID","Range","Province","Ecotype","Loss","Loss_perc","Loss_rate","Gain","Gain_perc","Net_change","Gain_rate","Harvest","Fire","Other","Range_area","Harvest_perc","Fire_perc","Other_perc","Harv_rate","Other_rate","Fire_rate"
"25",25,"25","Kennedy Siding","BC","SM_CG",140.92,4.74,0.26,75.74,2.55,-0.36,0.21,64.5,9.11,39.51,2973.92,2.168854576,0.306329693,1.328549524,0.144590305066667,0.0885699682666667,0.0204219795333333
"26",26,"26","Moberly","BC","SM_CG",402.22,12.17,0.68,172.12,5.21,0.61,0.43,95.67,129.4,121.42,3304.27,2.895344509,3.916144867,3.674639179,0.193022967266667,0.244975945266667,0.261076324466667
"27",27,"27","Narraway_BC","BC","SM_CG",490.7,7.69,0.43,93.98,1.47,-2.21,0.12,75,318.67,60.88,6381.01,1.175362521,4.994036994,0.954080937,0.0783575014,0.0636053958,0.3329357996
"28",28,"28","Quintette","BC","SM_CG",541.06,8.88,0.49,155.88,2.56,-3.8,0.21,214.21,66,174.72,6091.85,3.516337402,1.083414726,2.868094257,0.234422493466667,0.1912062838,0.0722276484
"29",29,"29","Charlotte Alplands","BC","SM_NG",281.08,10.49,0.58,63.08,2.35,-4.22,0.2,15.11,120.14,46.07,2678.54,0.564113286,4.485279294,1.719966848,0.0376075524,0.114664456533333,0.2990186196
"30",30,"30","Chase","BC","SM_NG",881.05,7.01,0.39,303.67,2.41,0.62,0.2,74.18,511.72,200.96,12577.09,0.58980257,4.068667712,1.597825888,0.0393201713333333,0.106521725866667,0.271244514133333
"31",31,"31","Graham","BC","SM_NG",321.78,3.45,0.19,177.61,1.9,0.12,0.16,69.7,80.64,141.27,9333.23,0.746793982,0.864009566,1.513623901,0.0497862654666667,0.100908260066667,0.0576006377333333
"32",32,"32","Itcha-Ilgachuz","BC","SM_NG",2119.88,22.22,1.23,300.19,3.15,-12.36,0.26,190.19,182.63,1248.68,9541.07,1.993382294,1.914145898,13.08742101,0.132892152933333,0.872494734,0.127609726533333
"33",33,"33","Rainbows","BC","SM_NG",544.44,14.15,0.79,57.44,1.49,-10.34,0.12,62.37,118.24,285.23,3847.19,1.621183253,3.073412023,7.413982673,0.108078883533333,0.494265511533333,0.204894134866667
"34",34,"34","Scott","BC","SM_NG",489.98,11.75,0.65,223.28,5.35,-1.76,0.45,218.46,8.56,146.79,4171.7,5.236714049,0.205192128,3.518709399,0.349114269933333,0.2345806266,0.0136794752
"35",35,"35","Takla","BC","SM_NG",170.13,7.94,0.44,110.89,5.17,0.09,0.43,81.23,1.8,60.45,2143.02,3.790445259,0.083993616,2.82078562,0.2526963506,0.188052374666667,0.0055995744
"36",36,"36","Telkwa","BC","SM_NG",284,9.04,0.5,147.36,4.69,-1.94,0.39,156.3,10.28,81.26,3141.34,4.975583668,0.327248881,2.586794171,0.331705577866667,0.172452944733333,0.0218165920666667
"37",37,"37","Tweedsmuir","BC","SM_NG",3164.5,23.28,1.29,334.52,2.46,-11.95,0.21,282.06,1134.32,1265.18,13591.83,2.075217244,8.345601733,9.308385994,0.138347816266667,0.620559066266667,0.556373448866667
"38",38,"38","Wolverine","BC","SM_NG",807.95,7.6,0.42,325.73,3.07,-1.03,0.26,233.06,11.39,304.59,10626.47,2.193202446,0.107185171,2.866332846,0.1462134964,0.1910888564,0.00714567806666667
"39",39,"39","Barkerville","BC","SM_SG",89.9,12.09,0.67,36.53,4.91,0.29,0.41,31.13,0.54,26.93,743.52,4.186840973,0.072627502,3.621960405,0.279122731533333,0.241464027,0.00484183346666667
"40",40,"40","Central Rockies","BC","SM_SG",22.78,3,0.17,22.08,2.91,1.41,0.24,7.03,3.64,3.91,758.97,0.92625532,0.479597349,0.515171878,0.0617503546666667,0.0343447918666667,0.0319731566
"41",41,"41","Columbia North","BC","SM_SG",157.31,3.38,0.19,136.84,2.94,0.58,0.25,63.13,34.47,30.18,4651.6,1.357167426,0.741035343,0.648809012,0.0904778284,0.0432539341333333,0.0494023562
"42",42,"42","Columbia South","BC","SM_SG",49.03,2.9,0.16,20.6,1.22,-0.46,0.1,15.47,7.34,9.92,1690.53,0.915097632,0.434183363,0.586798223,0.0610065088,0.0391198815333333,0.0289455575333333
"43",43,"43","Duncan","BC","SM_SG",12.27,2.75,0.15,8.88,1.99,0.94,0.17,0.5,2.47,2.04,446.9,0.111881853,0.552696353,0.456477959,0.0074587902,0.0304318639333333,0.0368464235333333
"44",44,"44","Frisby-Boulder","BC","SM_SG",21.98,3.18,0.18,10.78,1.56,-1.25,0.13,4.26,10.59,5.88,691.62,0.615945172,1.531187646,0.850177843,0.0410630114666667,0.0566785228666667,0.1020791764
"45",45,"45","George Mountain","BC","SM_SG",54.17,12.24,0.68,64.14,14.5,10.62,1.21,23.02,0.49,12.96,442.44,5.202965374,0.11074948,2.92921074,0.346864358266667,0.195280716,0.00738329866666667
"46",46,"46","Groundhog","BC","SM_SG",33.8,3.36,0.19,68.08,6.76,5.4,0.56,18.71,0.42,6.17,1006.48,1.858953978,0.041729592,0.613027581,0.1239302652,0.0408685054,0.0027819728
"47",47,"47","Hart Ranges","BC","SM_SG",196.37,1.57,0.09,428.9,3.43,2.77,0.29,66.99,4.48,38.61,12496.01,0.53609112,0.035851444,0.308978626,0.035739408,0.0205985750666667,0.00239009626666667
"48",48,"48","Monashee","BC","SM_SG",12.18,6.28,0.35,1.8,0.93,-4.5,0.08,1.9,4.68,4.04,193.94,0.979684438,2.413117459,2.08311849,0.0653122958666667,0.138874566,0.160874497266667
"49",49,"49","Nakusp","BC","SM_SG",93.95,4.02,0.22,47.13,2.01,-1.27,0.17,20.26,35.71,26.13,2339.68,0.865930384,1.526277098,1.116819394,0.0577286922666667,0.0744546262666667,0.101751806533333
"50",50,"50","Narrow Lake","BC","SM_SG",11.31,2.66,0.15,38.97,9.16,8.93,0.76,0.33,2.74,1.07,425.19,0.077612362,0.64441779,0.251652203,0.00517415746666667,0.0167768135333333,0.042961186
"51",51,"51","North Cariboo","BC","SM_SG",50.55,2.17,0.12,139.67,5.99,5.51,0.5,6.35,1.11,4.3,2333.19,0.272159576,0.047574351,0.184297035,0.0181439717333333,0.012286469,0.0031716234
"52",52,"52","Purcells North","BC","SM_SG",11.88,3.19,0.18,1.51,0.4,-2.33,0.03,2.18,7.2,1.13,372.62,0.585046428,1.932263432,0.303258011,0.0390030952,0.0202172007333333,0.128817562133333
"53",53,"53","Purcells South","BC","SM_SG",51.25,6.65,0.37,44.22,5.74,0.64,0.48,20.62,12.26,10.57,770.41,2.67649693,1.591360444,1.371996729,0.178433128666667,0.0914664486,0.106090696266667
"54",54,"54","South Selkirks","BC","SM_SG",98.07,7.57,0.42,57.68,4.45,-0.85,0.37,24.65,30.56,18.98,1295.13,1.90328384,2.359608688,1.465489951,0.126885589333333,0.0976993300666667,0.157307245866667
"55",55,"55","Wells Gray","BC","SM_SG",271.48,2.88,0.16,252.84,2.68,1,0.22,51.83,58.34,60.17,9418.89,0.550277156,0.61939358,0.638822621,0.0366851437333333,0.0425881747333333,0.0412929053333333
"56",56,"56","Bischto","AB","B",3203.29,22.31,1.24,28.72,0.2,-16.29,0.02,86.42,2664.27,210.9,14358.1,0.601890222,18.55586742,1.4688573,0.0401260148,0.09792382,1.237057828
